vitamin,ビタミン,,,,,,,,
role,役割,役,,,,,,,
roll,ころがる,緩やかに起伏する,ころがす,うねり,,,,,
healthy,健康な,,,,,,,,
mammal,哺乳動物,,,,,,,,
suffer,苦しむ,害を受ける,(苦痛・損害)を受ける,我慢する,,,,,
lack,不足,不足している,,,,,,,
luck,幸運,運,,,,,,,
curious,好奇心の強い,奇妙な,,,,,,,
however,しかし,どんな…でも,どのように…しても,,,,,,
nevertheless,それにもかかわらず,,,,,,,,
ape,類人猿,,,,,,,,
happen,起こる,,,,,,,,
mark,記号,印,あざ,点数,標識、徴候,に印をつける、特徴づける,,,
skin,皮膚、皮,,,,,,,,
tooth,歯,,,,,,,,
area,地域,面積,分野,,,,,,
bleed,出血する,から血液をとる,,,,,,,
couple,男女の1組,一対,,,,,,,
plenty,たくさん,豊富さ,,,,,,,
fresh,新しい,新鮮さ,,,,,,,
drug,薬,麻薬,,,,,,,
amount,量,総額,統計〜になる,〜に等しい,,,,,
sum,合計する,要約する,合計,要点,金額,,,,
body,体,死体,人,組織,,,,,
soul,魂,精神,真髄,,,,,,
spirit,精神,気分,魂,気力,,,,,
mind,精神,頭脳,心,意見,注意(力),記憶(力),嫌がる,気をつける,
insight,洞察(力),見識,,,,,,,
definition,定義,限定,,,,,,,
infinite,無限の,莫大な,,,,,,,
numerous,多数の,,,,,,,,
usual,いつもの,,,,,,,,
carefully,注意深く,注意して,,,,,,,
control,を支配する,を抑制する,支配(力),抑制,操縦,,,,
discipline,訓練,しつけ,規律,を訓練する,をしつける,を罰する,,,
alcohol,アルコール,酒,,,,,,,
instance,実例,場合,訴訟,,,,,,
instant,即刻(の),差し迫った,即席(の),瞬間,,,,,
history ,歴史(学),,,,,,,,
tie,ネクタイ,ひも,きずな,同点,を結ぶ,をつなぐ,結べる,同点になる,
bond,きずな,債券,をくっつける,,,,,,
culture,文化,教養,(細菌の)培養,を栽培する,を培養する,,,,
cultivate,を耕す,を栽培する,を養う,,,,,,
plant,植物,工場,を植える,を（しっかりと）固定する,,,,,
biology,生物学,,,,,,,,
unique,独特の,唯一の,,,,,,,
peculiar,奇妙な,独特の,,,,,,,
matter,事がら,問題,事態,物質,重要性,重要である,重要な関係がある,,
taste,味,趣味,味がする,の味を見る,,,,,
flavor,風味,趣,に風味をつける,,,,,,
cause,を引き起こす,原因,根拠,定義,,,,,
difference,違い,不一致,,,,,,,
otherwise,別なふうに,そうでなければ,他の点では,,,,,,
fact,事実,,,,,,,,
pick,運ぶ,(花などを)摘む,掘る,,,,,,
wolf,オオカミ,,,,,,,,
raise,を上げる,を育てる,を提起する,を集める,,,,,
lift,を持ち上げる,を上げる,を高揚させる,上がる,高揚する,上がること,リフト,,
breed,生む,育てる,品種,,,,,,
female,女性の,雌の,女性,雌,,,,,
birth,誕生,出産,,,,,,,
wife,妻,,,,,,,,
daughter,娘,,,,,,,,
grandparent,祖父,祖父母,,,,,,,
grandchild,孫,,,,,,,,
grand,壮大な,威厳のある,偉大な,,,,,,
cousin,いとこ,,,,,,,,
dig,掘る,突っ込む,研究する,,,,,,
hole,穴,欠点,,,,,,,
within,の内部に,の範囲内で,〜以内に,,,,,,
while,その一方で,〜する間に,〜の間ずっと,時間,,,,,
hunt,狩る,探す,探索,狩り,,,,,
instead,その代わりに,,,,,,,,
behind,(の)後に,(よりも)劣って,,,,,,,
guard,を守る,を見張る,に注意する,用心する,警戒,守衛,,,
air,空気,空中,空,様子,気取り,,,,
address,住所,演説,あいさつ,に話しかける,,,,,
lecture,講義,講演,説教,講義する,,,,,
bill,請求書,議案,紙幣,くちばし,,,,,
gesture,身ぶり,,,,,,,,
meaning,意味,意図,意義,,,,,,
misunderstand,誤解する,,,,,,,,
embarrass,を困らせる,,,,,,,,
experience,経験,を経験する,,,,,,,
foreign,外国の,異質の,,,,,,,
alien,外国(人)の,異質な,外国人,宇宙人,,,,,
domestic,家庭の,国内の,,,,,,,
count,を数える,重要である,数えること,問題点,,,,,
countless,無数の,,,,,,,,
counterpart,片方,似たもの,,,,,,,
calculate,を計算する,と見積もる,,,,,,,
index,索引,目録,指数,指標,,,,,
common,普通の,共通の,,,,,,,
familiar,親しい,馴染みのある,精通した,,,,,,
mutual,相互の,共通の,,,,,,,
quiet,静かな,平穏な,静かになる,,,,,,
calm,穏やかな,静まる,を静める,,,,,,
puzzle,を困らせる,分からないこと,パズル,,,,,,
mystery,不可思議,神秘,,,,,,,
reply,答え(る),,,,,,,,
mask,を隠す,マスクをつける,見せかける,マスク,仮面,表情,,,
feeing,感情,感じ,意見,感覚,,,,,
psychologist,心理学者,,,,,,,,
philosophy,哲学,人生観,,,,,,,
claim,を主張する,を要求する,主張,権利,要求,,,,
,,,,,,,,,
FALSE,うその,間違っている,誤りに基づいた,,,,,,
muscle,筋肉,筋力,,,,,,,
surround,を囲む,,,,,,,,
tight,しっかり固定した,きつい,厳しい,余裕のない,,,,,
cheek,ほお,,,,,,,,
pull,引く,車を寄せる,,,,,,,
lip,唇,,,,,,,,
upward,上に向かって,上方への,,,,,,,
slightly,わずかに,,,,,,,,
subtle,微妙な,,,,,,,,
trivial,ささいな,平凡な,,,,,,,
download,下に向かって,下方の,,,,,,,
forward,前に,将来に向かって,,,,,,,
perhaps,ひょっとすると,,,,,,,,
less,より少なく,,,,,,,,
lesson,レッスン,授業,教訓,,,,,,
temperature,温度,体温,,,,,,,
seen,のように思われる,,,,,,,,
confuse,を当惑させる,を(〜と)混同する,,,,,,,
describe,を言い表す,を描く,を説明すると,,,,,,
heat,熱,暑さ,,,,,,,
simple,単純な,簡単な,質素な,,,,,,
complicated,複雑な,,,,,,,,
complex,複雑な,多くの部分からなる,,,,,,,
sophisticated,精巧な,洗練された,手の込んだ,,,,,,
nerve,神経,神経質,勇気,厚かましさ,,,,,
shy,内気な,,,,,,,,
neuron,神経単位(ニュートロン),,,,,,,,
react,反応する,反作用する,反抗する,,,,,,
chemical,化学製品,化学の,化学的な,,,,,,
rise,上昇,増加,上がる,起きる,出世する,,,,
sink,沈む(める),弱まる,,,,,,,
expression,表現,表情,,,,,,,
therefore,したがって,,,,,,,,
reflect,反射する,反映する,よく考える,反省する,もたらす,,,,
clothes,衣服,,,,,,,,
botton,押しボタン,(衣類の)ボタン,(ボタン)を掛ける,,,,,,
convenient,便利な,都合の良い,,,,,,,
though,にもかかわらず,でも,,,,,,,
discrimination,差別,認識,,,,,,,
prejudice,先入観,偏見,,,,,,,
past,過去,ここ,過去の,,,,,,
expensive,高価な,,,,,,,,
rich,豊富な,裕福な,,,,,,,
poor,貧しい,粗末な,かわいそうな,,,,,,
pour,を注ぐ,流れ出る,,,,,,,
hunger,飢え,渇望,,,,,,,
afford,する余裕がある,物を持てる,を与える,,,,,,
wealthy,裕福な,に富んだ,,,,,,,
prosperity,繁栄,,,,,,,,
servant,召使い,,,,,,,,
master,主人,名人,を支配する,を習得する,,,,,
dress,に衣服を着せる,ドレス,衣服,,,,,,
regard,aをbとみなす,を尊重する,を凝視する,注意,敬意,関係,,,
symbol,象徴,記号,,,,,,,
power,権力,能力,エネルギー,強国,,,,,
dye,染料,染まる,,,,,,,
elegant,上品な,理論整然とした,,,,,,,
polite,礼儀正しい,丁寧で,,,,,,,
rude,無礼な,粗雑な,,,,,,,
ancient,古代の,,,,,,,,
coast,沿岸,海岸,滑走する,,,,,,
shore,(海、湖、広い河川の)岸,,,,,,,,
Mediterranean,地中海の,,,,,,,,
discover,を発見する,に気づく,,,,,,,
finding,発見,報告,判決,,,,,,
shell,(貝)殻,,,,,,,,
unlike,と異なって,異なった,,,,,,,
liquid,液体の,,,,,,,,
contact,接触,連絡,関係,に連絡する,と接触させる(する),,,,
access,接近,にアクセスする,に接続する,,,,,,
let,〜にしたいようにさせる,〜が…するのを許す,〜を…の状態にさせる,(家、部屋など)を賃貸する,,,,,
smell,の匂いを嗅ぐ,においを発する,,,,,,,
branch,枝,支店,部門,,,,,,
space,場所,空間,用地,宇宙,を一定の間隔で置く,,,,
burn,焼ける,燃える,焦げる,,,,,,
perfectly,完璧に,まったく,,,,,,,
previously,以前に,,,,,,,,
support,を支える,を立証する,を支持する,支え,支持,,,,
prove,を証明する,を試す,…とわかる,,,,,,
somehow,どういうわけか,なんとかして(なんらかの方法で),,,,,,,
composition,作文,作曲,構成,気質,,,,,
consist,成る,存在する,両立する,,,,,,
celebrate,祝う,,,,,,,,
bless,恵まれている,に祝福を与える,に感謝する,,,,,,
annual,1年間の,年１回の,,,,,,,
experiment,実験,実験する,,,,,,,
mouse,ネズミ,(コンピュータの)マウス,憶病者,,,,,,
collapse,崩壊する,(病気などで突然)倒れる,崩壊,倒れること,,,,,
survive,生き残る,から生き延びる,(人、名声などが)より長生きする,,,,,,
observation,観察,監視,観察結果,,,,,,
lead,導く,(道などが)通じる,率いる,(…する)気にさせる,(生活)を送る,首位,鉛,,
guide,案内人,指導者,案内書,指針,を案内する,を指導する,道案内する,,
offer,を提供する,を申し出る,提供,申し出,,,,,
theory,理論,学説,推測,,,,,,
academy,学会,学院,(私立の)高等学校,,,,,,
restore,を戻す,を修復する,を回復させる,,,,,,
remove,を取り除く,を移す,引っ越す,隔たり,,,,,
eliminate,を取り除く,,,,,,,,
exclude,を除外する,,,,,,,,
oxygen,酸素,,,,,,,,
disappear,消える,,,,,,,,
fade,(色などが)あせる,しぼむ,衰える,,,,,,
vanish,消える,,,,,,,,
bank,銀行,土手,,,,,,,
stick,を貼り付ける,を刺す,を突き通す,行き詰まる,くっつく,刺さる,棒切れ,ステッキ,スティック
bush,茂み,灌木,,,,,,,
police,警察,,,,,,,,
fur,毛皮,,,,,,,,
suspect,怪しいと思う,…だと思う,容疑者,,,,,,
attempt,を試みる,…しようとする,試み,攻撃,未遂,,,,
dare,あえて…する(勇気がある),思い切って(大胆にも)…する,あえて…する(勇気がある),,,,,,
tempt,(人)を誘惑する,(心)をそそる,,,,,,,
suicide,自殺,,,,,,,,
marriage,結婚,,,,,,,,
despite,にもかかわらず,,,,,,,,
extensive,広範囲の,大規模な,広大な,,,,,,
search,捜査,調査,追求,捜す,を捜し求める,を調べる,,,
whole,全体(の),完全な(もの),,,,,,,
clue,手がかり,,,,,,,,
hint,手がかり,気配,少量の,それとなくいう,,,,,
nouth,北(部)(の),,,,,,,,
west,西(部),西洋,西部の,,,,,,
east,東の,,,,,,,,
south,南の,,,,,,,,
guest,招待客,宿泊客,,,,,,,
audience,聴衆,(テレビの)視聴者,,,,,,,
client,(弁護士などへの)依頼客,,,,,,,,
passenger,乗客,,,,,,,,
similar,似通った,同類(種)の,,,,,,,
alike,同様の(に),,,,,,,,
parallel,平行な,平行に,,,,,,,
resemble,に似ている,,,,,,,,
photo,写真,写真を撮る,,,,,,,
photograph,写真,写真を撮る,,,,,,,
missing,行方不明の,,,,,,,,
bow,弓,,,,,,,,
capital,首都,資本,大文字,主要な,大文字の,資本の,,,
conference,会議,(スポーツ団体の)連盟,授与,,,,,,
convention,大会,慣習,協定,,,,,,
ring,鳴る,鳴らす,電話をかける,輪,(ベル、鈴、鐘などの)音,,,,
husband,夫,,,,,,,,
rush,急いでいく,を突破する,を急いで送る,突進,勢いよくながれる,,,,